pytanie;odpowiedz1;odpowiedz2;odpowiedz3;odpowiedz4;poprawna;notatka_pytania;notatka1;notatka2;notatka3;notatka4
Ile to 2+2?;2;3;4;5;3;Podstawowe działanie matematyczne;Za mało;Prawie!;Brawo, to poprawna odpowiedź!;Za dużo
Stolica Polski to?;Kraków;Warszawa;Gdańsk;Poznań;2;Pytanie o geografię;Dawna stolica;Obecna stolica Polski;Miasto portowe;Miasto w Wielkopolsce
Który język programowania jest obiektowy?;HTML;CSS;JavaScript;SQL;3;;To język znaczników;To język stylów;Tak! JS jest obiektowy;To język zapytań
W którym roku odbyła się bitwa pod Grunwaldem?;1410;1420;1400;1510;1;Ważna data w historii Polski;Poprawna data!;;;
Który pierwiastek ma symbol "Fe"?;Fluor;Fosfor;Żelazo;Francium;3;Z łaciny: Ferrum;;;;Żelazo - po łacinie Ferrum
Jak nazywa się największy ocean na Ziemi?;Atlantycki;Indyjski;Spokojny;Arktyczny;3;Ocean Spokojny to także Pacyfik;;;Pokrywa 1/3 powierzchni Ziemi;Najmniejszy ocean
Ile wynosi pierwiastek kwadratowy z 144?;10;11;12;14;3;Oblicz: ?² = 144;10² = 100;11² = 121;12² = 144 ✓;14² = 196
Kto napisał "Pana Tadeusza"?;Juliusz Słowacki;Adam Mickiewicz;Henryk Sienkiewicz;Bolesław Prus;2;Epopeja narodowa;;Wieszcz narodowy - autor dzieła;;
Która planeta jest najbliżej Słońca?;Wenus;Ziemia;Mars;Merkury;4;Układ Słoneczny;Druga planeta;Trzecia planeta;Czwarta planeta;Pierwsza - najbliżej Słońca!
Ile kontynentów jest na Ziemi?;5;6;7;8;3;Geografia fizyczna;;;Europa, Azja, Afryka, Ameryki, Australia, Antarktyda;
